sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid,so2_level,co_level,o3_level,o3_8hr_level,pm10_level,pm2.5_level,no2_level,nox_level,no_level,windspeed_level
屏東(枋山),屏東縣,71,臭氧八小時,普通,0.2,0.14,45.0,61.0,5.0,1.0,2.0,2.4,0.4,2.7,96,2025-04-08 23:00,,0.1,7.8,17,0.0,120.651472,22.260899,313,低,低,中,高,低,低,低,低,低,弱
臺南（南化）,臺南市,66,細懸浮微粒,普通,0.1,0.25,30.0,53.0,24.0,17.0,3.0,3.1,0.1,1.8,185,2025-04-08 23:00,,0.2,17.8,31,0.0,120.44583156,23.04562013,312,低,低,低,中,低,低,低,低,低,弱
新北（樹林）,新北市,104,細懸浮微粒,對敏感族群不健康,1.3,0.71,6.0,11.0,47.0,29.0,28.0,34.4,6.0,0.0,22,2025-04-08 23:00,,0.6,31.7,55,1.0,121.38352778,24.94902778,311,低,低,低,低,低,中,中,中,低,弱
台中市（和平區消防隊）,臺中市,64,細懸浮微粒,普通,0.3,0.28,27.0,42.0,30.0,17.0,5.0,6.5,0.7,0.2,278,2025-04-08 23:00,,0.3,17.2,30,0.0,120.883858,24.174592,310,低,低,低,中,低,低,低,低,低,弱
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,0.6,0.17,47.0,60.0,7.0,7.0,0.0,1.3,0.6,1.0,179,2025-04-08 23:00,,0.2,18.6,27,1.0,120.37722,22.35222,204,低,低,中,高,低,低,低,低,低,弱
臺南（麻豆）,臺南市,81,細懸浮微粒,普通,1.6,0.4,15.0,48.0,61.0,28.0,30.0,33.1,2.6,0.2,156,2025-04-08 23:00,,0.2,23.6,52,1.0,120.24583056,23.17904722,203,低,低,低,中,低,中,中,中,低,弱
高雄（湖內）,高雄市,73,細懸浮微粒,普通,1.7,0.37,27.0,46.0,53.0,23.0,16.0,18.0,1.4,0.3,325,2025-04-08 23:00,,0.3,20.6,46,1.0,120.24535,22.87985556,202,低,低,低,中,低,中,低,低,低,弱
宜蘭（頭城）,宜蘭縣,47,,良好,0.9,0.26,24.0,37.0,26.0,10.0,8.0,9.2,0.6,0.5,228,2025-04-08 23:00,,0.2,9.8,28,0.0,121.82463916,24.85366672,201,低,低,低,中,低,低,低,低,低,弱
員林,彰化縣,101,細懸浮微粒,對敏感族群不健康,2.4,0.63,26.0,44.0,73.0,34.0,17.0,18.2,0.9,0.8,179,2025-04-08 23:00,,0.5,30.5,65,2.0,120.5631893,23.9615945,139,低,低,低,中,低,中,低,低,低,弱
大城,彰化縣,100,臭氧八小時,普通,0.7,0.21,65.0,70.0,41.0,19.0,3.0,3.6,0.5,0.2,15,2025-04-08 23:00,,0.2,22.1,42,0.0,120.26964167,23.85493056,85,低,低,中,高,低,低,低,低,低,弱
富貴角,新北市,75,細懸浮微粒,普通,1.1,0.25,43.0,54.0,31.0,18.0,3.0,3.8,0.0,1.9,152,2025-04-08 23:00,,0.2,21.4,39,1.0,121.53656894,25.29681695,84,低,低,中,中,低,低,低,低,低,弱
麥寮,雲林縣,88,細懸浮微粒,普通,1.3,0.28,46.0,56.0,63.0,30.0,5.0,6.2,0.9,0.4,7,2025-04-08 23:00,,0.2,26.1,58,1.0,120.251825,23.753506,83,低,低,中,中,低,中,低,低,低,弱
關山,臺東縣,33,,良好,0.6,0.16,27.0,36.0,12.0,5.0,3.0,3.7,0.7,1.3,172,2025-04-08 23:00,,0.1,5.9,11,0.0,121.161933,23.045083,80,低,低,低,中,低,低,低,低,低,弱
馬公,澎湖縣,93,臭氧八小時,普通,0.6,0.24,67.0,68.0,48.0,31.0,3.0,3.5,0.1,1.2,275,2025-04-08 23:00,,0.2,23.5,49,0.0,119.566158,23.569031,78,低,低,中,高,低,中,低,低,低,弱
金門,金門縣,106,細懸浮微粒,對敏感族群不健康,1.7,0.38,64.0,65.0,64.0,33.0,7.0,8.1,0.7,0.7,299,2025-04-08 23:00,,0.3,32.7,63,2.0,118.312256,24.432133,77,低,低,中,高,低,中,低,低,低,弱
馬祖,連江縣,108,臭氧八小時,對敏感族群不健康,1.1,0.31,60.0,73.0,60.0,24.0,5.0,6.1,0.6,1.4,358,2025-04-08 23:00,,0.3,28.2,64,1.0,119.952724,26.153736,75,低,低,中,高,低,中,低,低,低,弱
埔里,南投縣,80,細懸浮微粒,普通,1.2,0.39,23.0,41.0,42.0,25.0,11.0,12.6,1.2,0.3,181,2025-04-08 23:00,,0.4,23.0,40,1.0,120.967903,23.968842,72,低,低,低,中,低,中,低,低,低,弱
復興,高雄市,70,細懸浮微粒,普通,1.6,0.2,59.0,57.0,37.0,21.0,10.0,11.0,0.9,1.1,288,2025-04-08 23:00,,0.3,19.6,39,0.0,120.312017,22.608711,71,低,低,中,中,低,中,低,低,低,弱
永和,新北市,87,細懸浮微粒,普通,1.0,1.03,9.0,23.0,35.0,25.0,37.0,44.1,6.5,0.4,79,2025-04-08 23:00,,0.9,25.5,43,1.0,121.516306,25.017,70,低,中,低,低,低,中,中,中,低,弱
竹山,南投縣,89,細懸浮微粒,普通,1.5,0.34,29.0,51.0,48.0,28.0,12.0,12.9,0.8,0.5,269,2025-04-08 23:00,,0.3,26.3,49,1.0,120.677306,23.756389,69,低,低,低,中,低,中,低,低,低,弱
中壢,桃園市,124,細懸浮微粒,對敏感族群不健康,1.7,1.16,2.0,14.0,78.0,44.0,49.0,68.6,18.9,0.2,289,2025-04-08 23:00,,1.1,39.7,75,0.0,121.221667,24.953278,68,低,中,低,低,中,高,高,高,低,弱
冬山,宜蘭縣,55,細懸浮微粒,普通,0.3,0.25,27.0,38.0,24.0,13.0,3.0,4.5,0.6,0.2,201,2025-04-08 23:00,,0.2,14.1,32,0.0,121.792928,24.632203,66,低,低,低,中,低,低,低,低,低,弱
宜蘭,宜蘭縣,53,細懸浮微粒,普通,0.7,0.27,25.0,34.0,18.0,16.0,5.0,5.5,0.2,0.6,259,2025-04-08 23:00,,0.3,13.2,23,0.0,121.746394,24.747917,65,低,低,低,中,低,低,低,低,低,弱
陽明,臺北市,101,臭氧八小時,對敏感族群不健康,1.4,0.34,79.0,71.0,43.0,19.0,7.0,8.1,0.7,0.9,190,2025-04-08 23:00,,0.3,21.0,48,1.0,121.529583,25.182722,64,低,低,高,高,低,低,低,低,低,弱
花蓮,花蓮縣,38,,良好,0.1,0.24,30.0,41.0,18.0,6.0,4.0,5.3,1.2,1.4,217,2025-04-08 23:00,,0.2,7.8,17,0.0,121.599769,23.971306,63,低,低,低,中,低,低,低,低,低,弱
臺東,臺東縣,35,,良好,0.9,0.21,37.0,38.0,4.0,0.0,2.0,3.5,0.9,0.7,313,2025-04-08 23:00,,0.2,7.2,13,0.0,121.15045,22.755358,62,低,低,中,中,低,低,低,低,低,弱
恆春,屏東縣,36,,良好,0.5,0.16,39.0,39.0,8.0,3.0,0.0,1.7,0.8,1.7,23,2025-04-08 23:00,,0.1,3.4,9,0.0,120.788928,21.958069,61,低,低,中,中,低,低,低,低,低,弱
屏東,屏東縣,80,細懸浮微粒,普通,1.2,0.39,52.0,57.0,58.0,26.0,9.0,10.4,1.0,1.4,155,2025-04-08 23:00,,0.4,23.2,57,1.0,120.488033,22.673081,59,低,低,中,中,低,中,低,低,低,弱
小港,高雄市,76,細懸浮微粒,普通,1.4,0.25,39.0,47.0,41.0,24.0,23.0,23.7,0.5,0.9,40,2025-04-08 23:00,,0.2,21.7,40,1.0,120.337736,22.565833,58,低,低,中,中,低,中,中,低,低,弱
前鎮,高雄市,64,細懸浮微粒,普通,3.3,0.27,53.0,53.0,44.0,20.0,14.0,15.1,0.7,1.8,184,2025-04-08 23:00,,0.3,17.4,40,1.0,120.30833356,22.6044507,57,低,低,中,中,低,中,低,低,低,弱
前金,高雄市,68,細懸浮微粒,普通,0.4,0.27,61.0,57.0,44.0,18.0,7.0,7.9,0.4,1.9,216,2025-04-08 23:00,,0.2,18.7,44,0.0,120.28676111,22.63390278,56,低,低,中,中,低,低,低,低,低,弱
左營,高雄市,71,臭氧八小時,普通,0.8,0.28,56.0,61.0,39.0,12.0,10.0,10.7,0.4,1.4,239,2025-04-08 23:00,,0.2,18.2,42,1.0,120.292917,22.674861,54,低,低,中,高,低,低,低,低,低,弱
楠梓,高雄市,80,懸浮微粒,普通,1.2,0.37,39.0,47.0,51.0,23.0,26.0,27.0,0.8,2.7,212,2025-04-08 23:00,,0.3,22.7,57,1.0,120.328289,22.733667,53,低,低,中,中,低,中,中,低,低,弱
林園,高雄市,65,細懸浮微粒,普通,0.2,0.2,44.0,58.0,16.0,13.0,2.0,3.1,1.0,2.4,190,2025-04-08 23:00,,0.2,17.7,35,1.0,120.41175,22.4795,52,低,低,中,中,低,低,低,低,低,弱
大寮,高雄市,70,細懸浮微粒,普通,0.7,0.22,46.0,56.0,26.0,9.0,2.0,3.1,0.5,2.2,181,2025-04-08 23:00,,0.2,19.5,43,1.0,120.425311,22.56413611,51,低,低,中,中,低,低,低,低,低,弱
鳳山,高雄市,88,懸浮微粒,普通,1.2,0.35,57.0,51.0,45.0,26.0,10.0,10.9,0.7,0.4,283,2025-04-08 23:00,,0.5,25.2,64,1.0,120.357422,22.628126,50,低,低,中,中,低,中,低,低,低,弱
仁武,高雄市,74,細懸浮微粒,普通,0.4,0.29,62.0,54.0,34.0,15.0,10.0,11.0,0.7,2.2,216,2025-04-08 23:00,,0.3,20.8,43,1.0,120.332631,22.689056,49,低,低,中,中,低,低,低,低,低,弱
橋頭,高雄市,84,細懸浮微粒,普通,0.9,0.45,33.0,47.0,53.0,28.0,18.0,19.7,1.0,1.3,204,2025-04-08 23:00,,0.3,24.6,48,1.0,120.305689,22.757506,48,低,低,低,中,低,中,低,低,低,弱
美濃,高雄市,87,臭氧八小時,普通,0.9,0.29,61.0,66.0,47.0,27.0,4.0,5.3,0.8,0.8,108,2025-04-08 23:00,,0.3,23.9,46,0.0,120.530542,22.883583,47,低,低,中,高,低,中,低,低,低,弱
臺南,臺南市,75,細懸浮微粒,普通,1.4,0.38,47.0,55.0,56.0,29.0,14.0,15.0,0.2,0.7,157,2025-04-08 23:00,,0.3,21.1,46,1.0,120.21947897,22.98928311,46,低,低,中,中,低,中,低,低,低,弱
安南,臺南市,84,細懸浮微粒,普通,1.9,0.44,34.0,55.0,53.0,28.0,19.0,21.3,1.3,0.5,308,2025-04-08 23:00,,0.3,24.7,49,1.0,120.2175,23.048197,45,低,低,低,中,低,中,低,低,低,弱
善化,臺南市,83,細懸浮微粒,普通,1.7,0.38,26.0,45.0,61.0,26.0,20.0,21.4,0.8,0.2,81,2025-04-08 23:00,,0.2,24.3,54,1.0,120.29740529,23.11337642,44,低,低,低,中,低,中,中,低,低,弱
新營,臺南市,84,細懸浮微粒,普通,1.2,0.35,36.0,53.0,54.0,26.0,11.0,12.5,1.2,0.4,220,2025-04-08 23:00,,0.3,24.5,54,0.0,120.31725,23.305633,43,低,低,低,中,低,中,低,低,低,弱
嘉義,嘉義市,85,細懸浮微粒,普通,2.3,0.37,28.0,46.0,50.0,25.0,11.0,12.3,0.7,0.6,226,2025-04-08 23:00,,0.3,24.8,50,2.0,120.44125148,23.46477865,42,低,低,低,中,低,中,低,低,低,弱
臺西,雲林縣,83,細懸浮微粒,普通,1.0,0.25,53.0,59.0,48.0,27.0,5.0,5.9,0.0,0.4,232,2025-04-08 23:00,,0.2,24.3,49,2.0,120.19933333,23.702175,41,低,低,中,中,低,中,低,低,低,弱
朴子,嘉義縣,77,細懸浮微粒,普通,0.9,0.34,37.0,55.0,53.0,19.0,8.0,9.9,1.5,0.7,120,2025-04-08 23:00,,0.2,22.0,49,1.0,120.2478,23.46538,40,低,低,中,中,低,低,低,低,低,弱
新港,嘉義縣,144,細懸浮微粒,對敏感族群不健康,2.6,0.36,28.0,50.0,63.0,38.0,13.0,13.4,0.0,0.7,216,2025-04-08 23:00,,0.3,48.1,73,2.0,120.345531,23.554839,39,低,低,低,中,低,中,低,低,低,弱
崙背,雲林縣,97,懸浮微粒,普通,0.3,0.31,40.0,53.0,135.0,32.0,4.0,4.7,0.5,0.6,128,2025-04-08 23:00,,0.2,28.2,72,1.0,120.348742,23.757547,38,低,低,中,中,中,中,低,低,低,弱
斗六,雲林縣,96,細懸浮微粒,普通,2.0,0.49,23.0,53.0,74.0,39.0,18.0,18.7,0.5,0.6,158,2025-04-08 23:00,,0.3,29.1,60,1.0,120.544994,23.711853,37,低,低,低,中,低,中,低,低,低,弱
南投,南投縣,84,細懸浮微粒,普通,1.2,0.32,25.0,48.0,43.0,28.0,13.0,14.3,0.7,0.8,179,2025-04-08 23:00,,0.3,24.6,47,1.0,120.685306,23.913,36,低,低,低,中,低,中,低,低,低,弱
二林,彰化縣,93,細懸浮微粒,普通,1.2,0.25,41.0,56.0,72.0,27.0,4.0,5.3,0.8,0.5,266,2025-04-08 23:00,,0.2,27.8,65,2.0,120.409653,23.925175,35,低,低,中,中,低,中,低,低,低,弱
線西,彰化縣,88,細懸浮微粒,普通,1.2,0.26,38.0,52.0,67.0,26.0,15.0,16.0,0.4,0.3,47,2025-04-08 23:00,,0.2,26.0,57,1.0,120.469061,24.131672,34,低,低,中,中,低,中,低,低,低,弱
彰化,彰化縣,92,細懸浮微粒,普通,1.6,0.47,20.0,33.0,51.0,30.0,24.0,25.3,1.1,1.3,192,2025-04-08 23:00,,0.4,27.5,51,1.0,120.541519,24.066,33,低,低,低,中,低,中,中,低,低,弱
西屯,臺中市,83,細懸浮微粒,普通,1.8,0.64,5.0,36.0,53.0,30.0,53.0,59.7,6.1,0.4,155,2025-04-08 23:00,,0.4,24.1,48,1.0,120.616917,24.162197,32,低,低,低,中,低,中,高,中,低,弱
忠明,臺中市,82,細懸浮微粒,普通,1.2,0.8,3.0,38.0,54.0,28.0,47.0,51.1,3.4,0.5,151,2025-04-08 23:00,,0.4,23.7,47,1.0,120.641092,24.151958,31,低,低,低,中,低,中,高,中,低,弱
大里,臺中市,87,細懸浮微粒,普通,1.5,0.45,24.0,42.0,54.0,31.0,22.0,22.8,0.6,0.2,95,2025-04-08 23:00,,0.4,25.8,49,1.0,120.67844444,24.09961111,30,低,低,低,中,低,中,中,低,低,弱
沙鹿,臺中市,90,細懸浮微粒,普通,1.5,0.42,34.0,48.0,60.0,26.0,19.0,19.9,0.7,0.2,321,2025-04-08 23:00,,0.3,26.7,55,1.0,120.568794,24.225628,29,低,低,低,中,低,中,低,低,低,弱
豐原,臺中市,88,細懸浮微粒,普通,1.6,0.35,32.0,40.0,40.0,24.0,12.0,12.9,0.6,2.1,105,2025-04-08 23:00,,0.3,26.1,45,1.0,120.74252414,24.25699731,28,低,低,低,中,低,中,低,低,低,弱
三義,苗栗縣,84,細懸浮微粒,普通,0.7,0.31,22.0,45.0,34.0,22.0,5.0,6.5,0.8,0.4,215,2025-04-08 23:00,,0.3,24.5,42,1.0,120.75956754,24.38248443,27,低,低,低,中,低,中,低,低,低,弱
苗栗,苗栗縣,100,細懸浮微粒,普通,1.7,0.44,13.0,42.0,63.0,35.0,22.0,24.9,2.0,0.8,323,2025-04-08 23:00,,0.3,30.4,59,2.0,120.82011468,24.56499183,26,低,低,低,中,低,中,中,低,低,弱
頭份,苗栗縣,99,細懸浮微粒,普通,2.1,0.39,15.0,38.0,43.0,25.0,12.0,13.9,1.2,0.6,83,2025-04-08 23:00,,0.4,30.0,55,2.0,120.89869286,24.69690679,25,低,低,低,中,低,中,低,低,低,弱
新竹,新竹市,119,細懸浮微粒,對敏感族群不健康,1.2,0.81,2.0,36.0,62.0,36.0,37.0,43.6,6.1,0.5,44,2025-04-08 23:00,,0.5,37.7,67,1.0,120.97236752,24.8056356,24,低,中,低,中,低,中,中,中,低,弱
竹東,新竹縣,74,細懸浮微粒,普通,1.6,0.33,22.0,31.0,31.0,24.0,8.0,8.9,0.5,0.4,60,2025-04-08 23:00,,0.3,21.0,33,1.0,121.08895493,24.74091408,23,低,低,低,低,低,中,低,低,低,弱
湖口,新竹縣,125,細懸浮微粒,對敏感族群不健康,1.0,0.62,4.0,37.0,77.0,48.0,32.0,34.6,2.3,0.8,33,2025-04-08 23:00,,0.4,40.1,73,0.0,121.03886894,24.90009696,22,低,低,低,中,中,高,中,中,低,弱
龍潭,桃園市,114,細懸浮微粒,對敏感族群不健康,1.5,0.47,16.0,32.0,51.0,29.0,25.0,26.2,1.0,0.3,6,2025-04-08 23:00,,0.5,35.9,76,1.0,121.21645772,24.86400048,21,低,低,低,中,低,中,中,低,低,弱
平鎮,桃園市,119,細懸浮微粒,對敏感族群不健康,1.9,0.84,2.0,27.0,92.0,51.0,48.0,63.6,15.4,0.4,192,2025-04-08 23:00,,0.6,37.9,81,0.0,121.203986,24.952786,20,低,中,低,低,中,高,高,高,低,弱
觀音,桃園市,108,細懸浮微粒,對敏感族群不健康,1.5,0.33,33.0,47.0,61.0,32.0,15.0,15.7,0.2,0.3,147,2025-04-08 23:00,,0.3,33.5,62,1.0,121.08283092,25.03556747,19,低,低,低,中,低,中,低,低,低,弱
大園,桃園市,96,細懸浮微粒,普通,1.5,0.34,32.0,36.0,60.0,24.0,18.0,20.0,1.8,0.9,28,2025-04-08 23:00,,0.3,29.1,68,1.0,121.20251473,25.06100357,18,低,低,低,中,低,中,低,低,低,弱
桃園,桃園市,110,細懸浮微粒,對敏感族群不健康,3.7,0.91,7.0,26.0,62.0,35.0,47.0,49.8,2.4,0.7,310,2025-04-08 23:00,,0.6,34.3,61,2.0,121.30500531,24.9947107,17,低,中,低,低,低,中,高,中,低,弱
松山,臺北市,87,細懸浮微粒,普通,3.0,0.59,3.0,27.0,43.0,22.0,40.0,45.7,4.9,0.8,22,2025-04-08 23:00,,0.4,25.6,46,2.0,121.578611,25.05,15,低,低,低,低,低,中,高,中,低,弱
古亭,臺北市,83,細懸浮微粒,普通,1.0,0.68,10.0,34.0,35.0,22.0,37.0,38.9,1.0,0.7,76,2025-04-08 23:00,,0.5,24.2,40,1.0,121.529556,25.020608,14,低,低,低,中,低,中,中,中,低,弱
萬華,臺北市,83,細懸浮微粒,普通,1.4,0.89,3.0,25.0,39.0,22.0,48.0,55.2,6.2,0.2,339,2025-04-08 23:00,,0.6,24.1,46,1.0,121.507972,25.046503,13,低,中,低,低,低,中,高,中,低,弱
中山,臺北市,82,細懸浮微粒,普通,1.5,0.73,13.0,22.0,32.0,22.0,34.0,38.4,3.6,1.0,300,2025-04-08 23:00,,0.7,23.8,43,1.0,121.526528,25.062361,12,低,低,低,低,低,中,中,中,低,弱
士林,臺北市,87,細懸浮微粒,普通,0.8,0.75,4.0,37.0,50.0,28.0,37.0,38.5,1.2,0.8,173,2025-04-08 23:00,,0.4,25.8,48,0.0,121.51666356,25.10334003,11,低,低,低,中,低,中,中,中,低,弱
淡水,新北市,85,細懸浮微粒,普通,0.7,0.66,12.0,24.0,43.0,22.0,23.0,24.3,0.8,0.2,0,2025-04-08 23:00,,0.4,24.9,46,0.0,121.449239,25.1645,10,低,低,低,低,低,中,中,低,低,弱
林口,新北市,78,細懸浮微粒,普通,2.3,0.44,31.0,41.0,33.0,19.0,20.0,20.7,0.4,0.6,146,2025-04-08 23:00,,0.3,22.5,44,1.0,121.36548982,25.07798949,9,低,低,低,中,低,低,中,低,低,弱
菜寮,新北市,97,細懸浮微粒,普通,1.2,1.09,2.0,31.0,54.0,32.0,54.0,63.9,9.8,0.3,293,2025-04-08 23:00,,0.6,29.4,54,1.0,121.481028,25.06895,8,低,中,低,低,低,中,高,高,低,弱
新莊,新北市,91,細懸浮微粒,普通,0.7,1.01,0.0,27.0,48.0,26.0,47.0,68.3,20.5,0.5,65,2025-04-08 23:00,,0.6,27.0,51,0.0,121.4325,25.037972,7,低,中,低,低,低,中,高,高,中,弱
板橋,新北市,84,細懸浮微粒,普通,1.8,1.29,0.0,31.0,55.0,32.0,58.0,78.3,19.4,0.8,353,2025-04-08 23:00,,0.9,24.6,48,2.0,121.458667,25.012972,6,低,中,低,低,低,中,高,高,低,弱
新店,新北市,77,細懸浮微粒,普通,0.4,0.49,23.0,38.0,29.0,16.0,21.0,21.7,0.5,1.0,170,2025-04-08 23:00,,0.5,22.1,40,1.0,121.537778,24.977222,4,低,低,低,中,低,低,中,低,低,弱
萬里,新北市,69,細懸浮微粒,普通,0.5,0.27,32.0,48.0,31.0,15.0,4.0,4.6,0.1,2.2,231,2025-04-08 23:00,,0.2,19.0,35,0.0,121.689881,25.179667,3,低,低,低,中,低,低,低,低,低,弱
汐止,新北市,77,細懸浮微粒,普通,0.5,0.41,9.0,30.0,31.0,21.0,23.0,25.9,2.4,0.5,103,2025-04-08 23:00,,0.3,22.1,40,2.0,121.64081,25.06624,2,低,低,低,低,低,中,中,低,低,弱
基隆,基隆市,69,細懸浮微粒,普通,1.5,0.73,0.0,25.0,30.0,14.0,35.0,49.1,13.8,0.8,265,2025-04-08 23:00,,0.5,19.0,33,1.0,121.760056,25.129167,1,低,低,低,低,低,低,中,中,低,弱
屏東(枋山),屏東縣,97,臭氧八小時,普通,0.3,0.14,47.0,69.0,7.0,3.0,2.0,2.5,0.3,3.5,101,2025-04-08 22:00,,0.1,8.8,19,0.0,120.651472,22.260899,313,低,低,中,高,低,低,低,低,低,弱
臺南（南化）,臺南市,65,細懸浮微粒,普通,0.3,0.28,45.0,58.0,28.0,19.0,2.0,3.0,0.1,2.5,190,2025-04-08 22:00,,0.2,17.5,31,0.0,120.44583156,23.04562013,312,低,低,中,中,低,低,低,低,低,弱
新北（樹林）,新北市,106,細懸浮微粒,對敏感族群不健康,1.3,0.75,6.0,17.0,55.0,35.0,33.0,39.3,6.0,0.0,41,2025-04-08 22:00,,0.5,32.7,58,1.0,121.38352778,24.94902778,311,低,低,低,低,低,中,中,中,低,弱
台中市（和平區消防隊）,臺中市,64,細懸浮微粒,普通,0.3,0.29,28.0,47.0,28.0,18.0,8.0,9.9,1.2,0.2,319,2025-04-08 22:00,,0.3,17.4,30,0.0,120.883858,24.174592,310,低,低,低,中,低,低,低,低,低,弱
屏東（琉球）,屏東縣,77,臭氧八小時,普通,0.7,0.17,46.0,63.0,11.0,10.0,0.0,1.2,0.6,1.4,170,2025-04-08 22:00,,0.2,21.7,33,1.0,120.37722,22.35222,204,低,低,中,高,低,低,低,低,低,弱
臺南（麻豆）,臺南市,79,細懸浮微粒,普通,1.7,0.36,29.0,54.0,61.0,25.0,17.0,20.2,2.3,0.2,136,2025-04-08 22:00,,0.2,22.6,50,1.0,120.24583056,23.17904722,203,低,低,低,中,低,中,低,低,低,弱
高雄（湖內）,高雄市,71,細懸浮微粒,普通,1.9,0.35,37.0,51.0,56.0,27.0,15.0,17.1,1.4,0.8,64,2025-04-08 22:00,,0.2,19.8,43,1.0,120.24535,22.87985556,202,低,低,中,中,低,中,低,低,低,弱
宜蘭（頭城）,宜蘭縣,48,,良好,0.7,0.28,23.0,41.0,26.0,9.0,11.0,12.3,0.7,0.2,157,2025-04-08 22:00,,0.2,10.5,29,0.0,121.82463916,24.85366672,201,低,低,低,中,低,低,低,低,低,弱
員林,彰化縣,98,細懸浮微粒,普通,2.4,0.66,34.0,50.0,70.0,32.0,16.0,17.1,1.0,0.6,338,2025-04-08 22:00,,0.4,29.7,65,2.0,120.5631893,23.9615945,139,低,低,低,中,低,中,低,低,低,弱
大城,彰化縣,101,臭氧八小時,對敏感族群不健康,0.7,0.22,65.0,71.0,43.0,22.0,3.0,4.0,1.0,0.2,22,2025-04-08 22:00,,0.2,22.8,43,0.0,120.26964167,23.85493056,85,低,低,中,高,低,中,低,低,低,弱
富貴角,新北市,78,細懸浮微粒,普通,1.0,0.24,54.0,57.0,38.0,25.0,3.0,3.7,0.0,0.2,187,2025-04-08 22:00,,0.2,22.3,41,1.0,121.53656894,25.29681695,84,低,低,中,中,低,中,低,低,低,弱
麥寮,雲林縣,85,細懸浮微粒,普通,1.3,0.27,45.0,60.0,68.0,25.0,5.0,6.5,0.6,0.6,318,2025-04-08 22:00,,0.2,24.9,56,1.0,120.251825,23.753506,83,低,低,中,高,低,中,低,低,低,弱
關山,臺東縣,35,,良好,0.6,0.17,33.0,38.0,8.0,7.0,3.0,4.2,0.7,0.8,214,2025-04-08 22:00,,0.1,6.1,12,0.0,121.161933,23.045083,80,低,低,低,中,低,低,低,低,低,弱
馬公,澎湖縣,97,臭氧八小時,普通,0.7,0.31,66.0,69.0,47.0,19.0,6.0,6.8,0.3,0.8,264,2025-04-08 22:00,,0.2,21.9,49,0.0,119.566158,23.569031,78,低,低,中,高,低,低,低,低,低,弱
金門,金門縣,108,細懸浮微粒,對敏感族群不健康,2.0,0.4,66.0,67.0,68.0,34.0,9.0,10.0,0.7,0.4,266,2025-04-08 22:00,,0.3,33.2,63,2.0,118.312256,24.432133,77,低,低,中,高,低,中,低,低,低,弱
馬祖,連江縣,122,臭氧八小時,對敏感族群不健康,1.4,0.33,63.0,77.0,63.0,30.0,6.0,6.9,0.6,1.3,350,2025-04-08 22:00,,0.3,29.2,65,1.0,119.952724,26.153736,75,低,低,中,高,低,中,低,低,低,弱
埔里,南投縣,79,細懸浮微粒,普通,1.2,0.45,25.0,45.0,43.0,23.0,13.0,14.9,1.1,0.4,297,2025-04-08 22:00,,0.4,22.6,39,1.0,120.967903,23.968842,72,低,低,低,中,低,中,低,低,低,弱
復興,高雄市,70,細懸浮微粒,普通,1.1,0.27,59.0,58.0,41.0,18.0,11.0,12.1,1.0,1.2,285,2025-04-08 22:00,,0.3,19.5,40,0.0,120.312017,22.608711,71,低,低,中,中,低,低,低,低,低,弱
永和,新北市,87,細懸浮微粒,普通,1.5,0.76,14.0,26.0,32.0,22.0,34.0,38.4,4.1,0.2,218,2025-04-08 22:00,,0.9,25.5,44,1.0,121.516306,25.017,70,低,低,低,低,低,中,中,中,低,弱
竹山,南投縣,90,細懸浮微粒,普通,1.7,0.31,37.0,56.0,50.0,26.0,10.0,11.8,0.9,1.2,167,2025-04-08 22:00,,0.3,26.6,51,1.0,120.677306,23.756389,69,低,低,中,中,低,中,低,低,低,弱
中壢,桃園市,120,細懸浮微粒,對敏感族群不健康,2.3,1.92,0.0,19.0,84.0,46.0,54.0,91.0,36.3,0.2,274,2025-04-08 22:00,,1.1,38.1,74,0.0,121.221667,24.953278,68,低,高,低,低,中,高,高,高,中,弱
冬山,宜蘭縣,55,細懸浮微粒,普通,0.3,0.3,29.0,40.0,25.0,16.0,5.0,5.7,0.4,0.2,218,2025-04-08 22:00,,0.2,14.1,33,0.0,121.792928,24.632203,66,低,低,低,中,低,低,低,低,低,弱
宜蘭,宜蘭縣,53,細懸浮微粒,普通,0.8,0.4,20.0,38.0,20.0,11.0,8.0,9.0,0.5,0.3,232,2025-04-08 22:00,,0.3,13.2,24,0.0,121.746394,24.747917,65,低,低,低,中,低,低,低,低,低,弱
陽明,臺北市,100,臭氧八小時,普通,1.6,0.37,69.0,70.0,61.0,27.0,10.0,10.9,0.8,1.3,360,2025-04-08 22:00,,0.3,21.2,48,1.0,121.529583,25.182722,64,低,低,中,高,低,中,低,低,低,弱
花蓮,花蓮縣,41,,良好,0.1,0.29,33.0,44.0,12.0,6.0,5.0,6.6,1.2,1.2,263,2025-04-08 22:00,,0.2,8.3,17,0.0,121.599769,23.971306,63,低,低,低,中,低,低,低,低,低,弱
臺東,臺東縣,35,,良好,0.9,0.23,37.0,38.0,7.0,1.0,4.0,5.4,1.3,0.3,328,2025-04-08 22:00,,0.2,8.4,14,0.0,121.15045,22.755358,62,低,低,中,中,低,低,低,低,低,弱
