sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid,so2_level,co_level,o3_level,o3_8hr_level,pm10_level,pm2.5_level,no2_level,nox_level,no_level,windspeed_level
屏東(枋山),屏東縣,46,,良好,0.5,0.27,28.0,50.0,42.0,19.0,10.0,10.6,0.1,1.9,319.0,2025-03-30 23:00,,0.1,9.5,27.0,0.0,120.651472,22.260899,313,低,低,低,中,低,低,低,低,低,弱
臺南（南化）,臺南市,53,細懸浮微粒,普通,0.3,0.21,25.0,33.0,14.0,15.0,5.0,5.6,0.2,1.5,351.0,2025-03-30 23:00,,0.2,13.3,15.0,0.0,120.44583156,23.04562013,312,低,低,低,中,低,低,低,低,低,弱
新北（樹林）,新北市,39,,良好,0.2,0.24,38.0,42.0,1.0,3.0,11.0,12.8,1.5,0.0,147.0,2025-03-30 23:00,,0.2,2.0,2.0,0.0,121.38352778,24.94902778,311,低,低,低,中,低,低,低,低,低,弱
台中市（和平區消防隊）,臺中市,24,,良好,0.2,0.2,26.0,26.0,4.0,4.0,3.0,3.7,0.5,0.9,310.0,2025-03-30 23:00,,0.2,2.2,4.0,0.0,120.883858,24.174592,310,低,低,低,低,低,低,低,低,低,弱
屏東（琉球）,屏東縣,65,細懸浮微粒,普通,7.6,0.99,11.0,39.0,51.0,25.0,26.0,26.8,0.5,2.6,334.0,2025-03-30 23:00,,0.3,17.7,33.0,3.0,120.37722,22.35222,204,低,低,低,中,低,中,中,低,低,弱
臺南（麻豆）,臺南市,33,,良好,0.9,0.19,34.0,36.0,11.0,5.0,6.0,7.1,0.9,2.7,3.0,2025-03-30 23:00,,0.2,7.5,14.0,0.0,120.24583056,23.17904722,203,低,低,低,中,低,低,低,低,低,弱
高雄（湖內）,高雄市,43,,良好,1.6,0.26,23.0,32.0,14.0,10.0,14.0,15.2,0.7,1.0,22.0,2025-03-30 23:00,,0.2,10.6,19.0,1.0,120.24535,22.87985556,202,低,低,低,中,低,低,低,低,低,弱
宜蘭（頭城）,宜蘭縣,39,,良好,0.8,0.17,38.0,42.0,9.0,3.0,3.0,4.0,0.3,1.6,244.0,2025-03-30 23:00,,0.1,2.0,9.0,0.0,121.82463916,24.85366672,201,低,低,低,中,低,低,低,低,低,弱
員林,彰化縣,35,,良好,1.0,0.22,37.0,38.0,10.0,6.0,5.0,6.8,1.0,2.5,43.0,2025-03-30 23:00,,0.2,6.4,8.0,1.0,120.5631893,23.9615945,139,低,低,低,中,低,低,低,低,低,弱
大城,彰化縣,40,,良好,1.7,0.18,40.0,43.0,10.0,5.0,7.0,9.5,1.6,2.4,54.0,2025-03-30 23:00,,0.1,6.2,13.0,1.0,120.26964167,23.85493056,85,低,低,低,中,低,低,低,低,低,弱
富貴角,新北市,50,,良好,0.3,0.1,53.0,54.0,24.0,8.0,0.0,0.8,0.0,13.4,45.0,2025-03-30 23:00,,0.1,5.4,20.0,0.0,121.53656894,25.29681695,84,低,低,中,中,低,低,低,低,低,強
麥寮,雲林縣,36,,良好,2.5,0.31,37.0,39.0,12.0,4.0,7.0,8.4,1.3,4.8,359.0,2025-03-30 23:00,,0.3,5.1,12.0,1.0,120.251825,23.753506,83,低,低,低,中,低,低,低,低,低,弱
關山,臺東縣,43,,良好,0.7,0.19,43.0,46.0,5.0,4.0,2.0,2.9,0.6,2.6,20.0,2025-03-30 23:00,,0.1,3.3,11.0,0.0,121.161933,23.045083,80,低,低,低,中,低,低,低,低,低,弱
馬公,澎湖縣,47,,良好,0.9,0.17,51.0,51.0,7.0,8.0,1.0,2.2,0.6,6.9,32.0,2025-03-30 23:00,,0.1,6.3,14.0,0.0,119.566158,23.569031,78,低,低,中,中,低,低,低,低,低,中
金門,金門縣,37,,良好,1.0,0.22,43.0,40.0,5.0,9.0,3.0,4.2,0.5,3.0,35.0,2025-03-30 23:00,,0.2,5.6,7.0,0.0,118.312256,24.432133,77,低,低,低,中,低,低,低,低,低,弱
馬祖,連江縣,42,,良好,0.7,0.19,43.0,45.0,21.0,13.0,3.0,4.4,0.6,2.7,357.0,2025-03-30 23:00,,0.1,7.9,16.0,0.0,119.952724,26.153736,75,低,低,低,中,低,低,低,低,低,弱
埔里,南投縣,32,,良好,0.8,0.26,15.0,14.0,8.0,6.0,3.0,4.5,1.0,0.6,260.0,2025-03-30 23:00,,0.2,8.0,12.0,0.0,120.967903,23.968842,72,低,低,低,低,低,低,低,低,低,弱
復興,高雄市,57,細懸浮微粒,普通,1.3,0.34,23.0,32.0,21.0,14.0,13.0,15.0,1.3,1.5,317.0,2025-03-30 23:00,,0.3,14.7,27.0,1.0,120.312017,22.608711,71,低,低,低,中,低,低,低,低,低,弱
永和,新北市,38,,良好,0.8,0.25,39.0,41.0,0.0,5.0,8.0,9.8,1.2,1.5,107.0,2025-03-30 23:00,,0.2,5.5,1.0,0.0,121.516306,25.017,70,低,低,低,中,低,低,低,低,低,弱
竹山,南投縣,36,,良好,1.4,0.22,26.0,28.0,10.0,11.0,8.0,9.0,0.8,1.6,18.0,2025-03-30 23:00,,0.2,9.0,15.0,1.0,120.677306,23.756389,69,低,低,低,低,低,低,低,低,低,弱
中壢,桃園市,36,,良好,0.1,0.36,30.0,34.0,8.0,3.0,15.0,19.7,3.8,0.9,12.0,2025-03-30 23:00,,0.3,4.7,5.0,0.0,121.221667,24.953278,68,低,低,低,中,低,低,低,低,低,弱
冬山,宜蘭縣,42,,良好,0.6,0.15,45.0,45.0,0.0,5.0,1.0,1.1,0.0,2.2,265.0,2025-03-30 23:00,,0.1,4.1,0.0,0.0,121.792928,24.632203,66,低,低,中,中,低,低,低,低,低,弱
宜蘭,宜蘭縣,39,,良好,0.5,0.15,42.0,42.0,2.0,5.0,2.0,3.6,0.6,1.3,273.0,2025-03-30 23:00,,0.1,3.5,2.0,0.0,121.746394,24.747917,65,低,低,低,中,低,低,低,低,低,弱
陽明,臺北市,46,,良好,0.8,0.19,50.0,50.0,2.0,0.0,1.0,1.5,0.3,3.7,200.0,2025-03-30 23:00,,0.1,0.0,3.0,0.0,121.529583,25.182722,64,低,低,中,中,低,低,低,低,低,弱
花蓮,花蓮縣,42,,良好,1.0,0.23,42.0,45.0,8.0,0.0,3.0,4.6,1.1,0.7,298.0,2025-03-30 23:00,,0.2,1.3,7.0,0.0,121.599769,23.971306,63,低,低,低,中,低,低,低,低,低,弱
臺東,臺東縣,44,,良好,1.0,0.18,46.0,47.0,11.0,1.0,2.0,1.8,0.0,2.2,314.0,2025-03-30 23:00,,0.1,2.2,19.0,0.0,121.15045,22.755358,62,低,低,中,中,低,低,低,低,低,弱
恆春,屏東縣,49,,良好,1.0,0.17,52.0,53.0,11.0,0.0,1.0,1.5,0.2,11.7,33.0,2025-03-30 23:00,,0.1,1.7,14.0,0.0,120.788928,21.958069,61,低,低,中,中,低,低,低,低,低,強
潮州,屏東縣,70,細懸浮微粒,普通,0.9,0.27,25.0,40.0,31.0,16.0,9.0,9.8,0.1,1.7,15.0,2025-03-30 23:00,,0.2,19.5,36.0,1.0,120.561175,22.523108,60,低,低,低,中,低,低,低,低,低,弱
