sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid,so2_level,co_level,o3_level,o3_8hr_level,pm10_level,pm2.5_level,no2_level,nox_level,no_level,windspeed_level
屏東,屏東縣,56,細懸浮微粒,普通,1.1,0.28,26.0,37.0,25.0,13.0,9.0,10.3,0.5,1.4,254.0,2025-03-30 23:00,,0.3,14.2,27.0,1.0,120.488033,22.673081,59,低,低,低,中,低,低,低,低,低,弱
小港,高雄市,67,細懸浮微粒,普通,0.4,0.32,24.0,33.0,21.0,17.0,12.0,14.6,1.6,1.3,321.0,2025-03-30 23:00,,0.3,18.5,26.0,1.0,120.337736,22.565833,58,低,低,低,中,低,低,低,低,低,弱
前鎮,高雄市,59,細懸浮微粒,普通,0.4,0.37,23.0,32.0,25.0,15.0,13.0,14.4,1.2,3.0,27.0,2025-03-30 23:00,,0.3,15.3,30.0,1.0,120.30833356,22.6044507,57,低,低,低,中,低,低,低,低,低,弱
前金,高雄市,56,細懸浮微粒,普通,1.2,0.29,22.0,33.0,25.0,16.0,12.0,12.9,0.4,4.8,356.0,2025-03-30 23:00,,0.3,14.5,29.0,1.0,120.28676111,22.63390278,56,低,低,低,中,低,低,低,低,低,弱
左營,高雄市,53,細懸浮微粒,普通,1.0,0.32,24.0,34.0,24.0,15.0,10.0,11.6,0.8,2.7,349.0,2025-03-30 23:00,,0.3,13.2,27.0,1.0,120.292917,22.674861,54,低,低,低,中,低,低,低,低,低,弱
楠梓,高雄市,56,細懸浮微粒,普通,0.8,0.26,26.0,34.0,20.0,16.0,10.0,10.3,0.2,1.8,335.0,2025-03-30 23:00,,0.2,14.2,25.0,0.0,120.328289,22.733667,53,低,低,低,中,低,低,低,低,低,弱
林園,高雄市,71,細懸浮微粒,普通,1.9,0.33,20.0,31.0,33.0,16.0,17.0,17.7,0.3,2.1,359.0,2025-03-30 23:00,,0.3,19.9,41.0,2.0,120.41175,22.4795,52,低,低,低,低,低,低,低,低,低,弱
大寮,高雄市,64,細懸浮微粒,普通,0.4,0.26,23.0,33.0,26.0,14.0,10.0,11.0,0.7,1.9,352.0,2025-03-30 23:00,,0.3,17.3,31.0,2.0,120.425311,22.56413611,51,低,低,低,中,低,低,低,低,低,弱
鳳山,高雄市,61,細懸浮微粒,普通,1.4,0.37,22.0,31.0,23.0,11.0,13.0,14.4,1.3,1.4,280.0,2025-03-30 23:00,,0.4,16.1,27.0,1.0,120.357422,22.628126,50,低,低,低,低,低,低,低,低,低,弱
仁武,高雄市,56,細懸浮微粒,普通,1.2,0.29,25.0,34.0,16.0,17.0,11.0,11.5,0.2,2.8,331.0,2025-03-30 23:00,,0.3,14.2,23.0,1.0,120.332631,22.689056,49,低,低,低,中,低,低,低,低,低,弱
橋頭,高雄市,55,細懸浮微粒,普通,1.1,0.25,27.0,35.0,22.0,13.0,9.0,10.0,0.7,2.9,9.0,2025-03-30 23:00,,0.2,14.0,25.0,1.0,120.305689,22.757506,48,低,低,低,中,低,低,低,低,低,弱
美濃,高雄市,52,細懸浮微粒,普通,0.9,0.26,27.0,36.0,25.0,10.0,6.0,6.9,0.2,1.0,254.0,2025-03-30 23:00,,0.2,12.9,21.0,1.0,120.530542,22.883583,47,低,低,低,中,低,低,低,低,低,弱
臺南,臺南市,39,,良好,1.0,0.21,32.0,36.0,11.0,7.0,8.0,9.3,0.8,3.3,359.0,2025-03-30 23:00,,0.2,9.7,15.0,1.0,120.21947897,22.98928311,46,低,低,低,中,低,低,低,低,低,弱
安南,臺南市,37,,良好,0.7,0.22,34.0,37.0,16.0,9.0,7.0,8.1,1.0,3.1,335.0,2025-03-30 23:00,,0.2,9.1,19.0,0.0,120.2175,23.048197,45,低,低,低,中,低,低,低,低,低,弱
善化,臺南市,47,,良好,1.0,0.2,31.0,35.0,15.0,16.0,7.0,9.0,1.4,3.8,8.0,2025-03-30 23:00,,0.2,11.7,15.0,1.0,120.29740529,23.11337642,44,低,低,低,中,低,低,低,低,低,弱
新營,臺南市,33,,良好,1.4,0.21,34.0,36.0,15.0,5.0,7.0,8.0,0.7,2.9,19.0,2025-03-30 23:00,,0.2,7.6,13.0,1.0,120.31725,23.305633,43,低,低,低,中,低,低,低,低,低,弱
嘉義,嘉義市,35,,良好,1.3,0.24,31.0,33.0,12.0,6.0,7.0,7.4,0.2,2.9,5.0,2025-03-30 23:00,,0.2,8.8,11.0,1.0,120.44125148,23.46477865,42,低,低,低,中,低,低,低,低,低,弱
臺西,雲林縣,38,,良好,2.1,0.2,39.0,41.0,10.0,4.0,7.0,7.7,0.5,6.8,28.0,2025-03-30 23:00,,0.2,4.5,16.0,1.0,120.19933333,23.702175,41,低,低,低,中,低,低,低,低,低,中
朴子,嘉義縣,37,,良好,0.5,0.12,40.0,40.0,9.0,5.0,4.0,4.2,0.0,2.2,356.0,2025-03-30 23:00,,0.1,5.2,13.0,0.0,120.2478,23.46538,40,低,低,低,中,低,低,低,低,低,弱
新港,嘉義縣,36,,良好,1.5,0.17,39.0,39.0,7.0,2.0,4.0,5.3,0.5,3.9,18.0,2025-03-30 23:00,,0.1,4.9,12.0,1.0,120.345531,23.554839,39,低,低,低,中,低,低,低,低,低,弱
崙背,雲林縣,37,,良好,0.7,0.19,40.0,40.0,10.0,7.0,3.0,4.2,0.4,2.3,13.0,2025-03-30 23:00,,0.1,7.9,12.0,0.0,120.348742,23.757547,38,低,低,低,中,低,低,低,低,低,弱
斗六,雲林縣,39,,良好,0.8,0.2,33.0,34.0,8.0,7.0,4.0,4.8,0.7,1.8,3.0,2025-03-30 23:00,,0.2,9.6,11.0,0.0,120.544994,23.711853,37,低,低,低,中,低,低,低,低,低,弱
南投,南投縣,34,,良好,1.5,0.22,31.0,31.0,7.0,9.0,7.0,8.2,0.4,1.5,319.0,2025-03-30 23:00,,0.2,8.4,11.0,1.0,120.685306,23.913,36,低,低,低,低,低,低,低,低,低,弱
二林,彰化縣,41,,良好,1.9,0.19,44.0,44.0,10.0,2.0,3.0,3.9,0.3,4.6,28.0,2025-03-30 23:00,,0.1,4.4,16.0,1.0,120.409653,23.925175,35,低,低,中,中,低,低,低,低,低,弱
線西,彰化縣,41,,良好,2.0,0.18,44.0,44.0,1.0,1.0,7.0,7.2,0.2,7.3,44.0,2025-03-30 23:00,,0.1,3.0,4.0,1.0,120.469061,24.131672,34,低,低,中,中,低,低,低,低,低,中
彰化,彰化縣,32,,良好,0.9,0.19,36.0,35.0,3.0,3.0,6.0,7.2,0.9,2.6,25.0,2025-03-30 23:00,,0.2,4.2,5.0,0.0,120.541519,24.066,33,低,低,低,中,低,低,低,低,低,弱
西屯,臺中市,38,,良好,0.9,0.2,41.0,41.0,7.0,3.0,5.0,6.2,1.1,4.1,355.0,2025-03-30 23:00,,0.2,4.2,6.0,0.0,120.616917,24.162197,32,低,低,低,中,低,低,低,低,低,弱
忠明,臺中市,31,,良好,1.3,0.25,33.0,33.0,4.0,2.0,8.0,9.5,1.3,1.9,338.0,2025-03-30 23:00,,0.2,4.5,6.0,1.0,120.641092,24.151958,31,低,低,低,中,低,低,低,低,低,弱
大里,臺中市,29,,良好,1.0,0.25,29.0,31.0,2.0,3.0,10.0,10.6,0.0,1.8,323.0,2025-03-30 23:00,,0.2,6.3,3.0,1.0,120.67844444,24.09961111,30,低,低,低,低,低,低,低,低,低,弱
沙鹿,臺中市,40,,良好,0.0,0.19,43.0,43.0,4.0,5.0,4.0,4.8,0.3,3.4,24.0,2025-03-30 23:00,,0.1,6.0,8.0,0.0,120.568794,24.225628,29,低,低,低,中,低,低,低,低,低,弱
豐原,臺中市,34,,良好,0.2,0.19,38.0,37.0,4.0,2.0,2.0,3.2,0.6,2.0,2.0,2025-03-30 23:00,,0.2,2.2,3.0,0.0,120.74252414,24.25699731,28,低,低,低,中,低,低,低,低,低,弱
三義,苗栗縣,38,,良好,1.0,0.2,40.0,41.0,0.0,2.0,3.0,3.7,0.2,5.1,15.0,2025-03-30 23:00,,0.1,2.9,1.0,0.0,120.75956754,24.38248443,27,低,低,低,中,低,低,低,低,低,弱
苗栗,苗栗縣,40,,良好,1.8,0.18,40.0,43.0,1.0,4.0,5.0,6.4,0.6,2.6,12.0,2025-03-30 23:00,,0.1,3.5,4.0,1.0,120.82011468,24.56499183,26,低,低,低,中,低,低,低,低,低,弱
頭份,苗栗縣,43,,良好,1.7,0.21,43.0,46.0,4.0,4.0,6.0,7.5,1.1,0.3,33.0,2025-03-30 23:00,,0.1,3.7,3.0,1.0,120.89869286,24.69690679,25,低,低,低,中,低,低,低,低,低,弱
新竹,新竹市,43,,良好,2.0,0.2,45.0,46.0,0.0,4.0,4.0,5.4,0.5,3.0,53.0,2025-03-30 23:00,,0.2,4.7,2.0,1.0,120.97236752,24.8056356,24,低,低,中,中,低,低,低,低,低,弱
竹東,新竹縣,43,,良好,0.5,0.16,44.0,46.0,2.0,1.0,3.0,4.0,0.4,3.2,61.0,2025-03-30 23:00,,0.1,1.2,2.0,0.0,121.08895493,24.74091408,23,低,低,中,中,低,低,低,低,低,弱
湖口,新竹縣,43,,良好,1.0,0.18,45.0,46.0,6.0,0.0,3.0,4.2,0.9,5.5,40.0,2025-03-30 23:00,,0.1,3.2,5.0,1.0,121.03886894,24.90009696,22,低,低,中,中,低,低,低,低,低,中
龍潭,桃園市,40,,良好,1.1,0.16,44.0,43.0,2.0,1.0,4.0,4.7,0.2,5.5,46.0,2025-03-30 23:00,,0.1,1.7,5.0,1.0,121.21645772,24.86400048,21,低,低,中,中,低,低,低,低,低,中
平鎮,桃園市,39,,良好,0.7,0.24,36.0,42.0,7.0,6.0,13.0,14.3,0.5,2.6,52.0,2025-03-30 23:00,,0.2,5.2,6.0,0.0,121.203986,24.952786,20,低,低,低,中,低,低,低,低,低,弱
觀音,桃園市,44,,良好,3.5,0.14,46.0,47.0,5.0,3.0,3.0,3.3,0.0,7.5,68.0,2025-03-30 23:00,,0.1,6.3,7.0,0.0,121.08283092,25.03556747,19,低,低,中,中,低,低,低,低,低,中
大園,桃園市,42,,良好,1.2,0.19,43.0,45.0,5.0,0.0,9.0,10.5,1.3,5.9,58.0,2025-03-30 23:00,,0.1,2.5,5.0,2.0,121.20251473,25.06100357,18,低,低,低,中,低,低,低,低,低,中
桃園,桃園市,37,,良好,1.2,0.24,40.0,40.0,3.0,1.0,8.0,9.4,0.6,2.4,47.0,2025-03-30 23:00,,0.2,2.0,2.0,1.0,121.30500531,24.9947107,17,低,低,低,中,低,低,低,低,低,弱
松山,臺北市,37,,良好,1.6,0.21,36.0,40.0,2.0,6.0,11.0,12.2,0.9,1.1,29.0,2025-03-30 23:00,,0.1,6.2,2.0,1.0,121.578611,25.05,15,低,低,低,中,低,低,低,低,低,弱
古亭,臺北市,39,,良好,0.9,0.19,43.0,42.0,4.0,1.0,6.0,7.5,0.6,2.0,58.0,2025-03-30 23:00,,0.2,3.0,4.0,0.0,121.529556,25.020608,14,低,低,低,中,低,低,低,低,低,弱
萬華,臺北市,34,,良好,0.6,0.26,35.0,37.0,4.0,2.0,12.0,13.6,0.8,1.8,91.0,2025-03-30 23:00,,0.2,2.2,5.0,0.0,121.507972,25.046503,13,低,低,低,中,低,低,低,低,低,弱
中山,臺北市,32,,良好,0.8,0.29,35.0,35.0,2.0,0.0,13.0,14.2,1.1,2.1,77.0,2025-03-30 23:00,,0.3,3.4,4.0,0.0,121.526528,25.062361,12,低,低,低,中,低,低,低,低,低,弱
士林,臺北市,43,,良好,0.5,0.18,45.0,46.0,4.0,1.0,5.0,6.5,0.9,1.6,157.0,2025-03-30 23:00,,0.1,2.0,3.0,0.0,121.51666356,25.10334003,11,低,低,中,中,低,低,低,低,低,弱
淡水,新北市,43,,良好,0.7,0.17,45.0,46.0,5.0,3.0,2.0,2.8,0.7,3.0,10.0,2025-03-30 23:00,,0.1,3.5,6.0,0.0,121.449239,25.1645,10,低,低,中,中,低,低,低,低,低,弱
林口,新北市,43,,良好,0.6,0.19,42.0,46.0,0.0,5.0,4.0,5.7,0.7,2.6,46.0,2025-03-30 23:00,,0.1,4.4,0.0,0.0,121.36548982,25.07798949,9,低,低,低,中,低,低,低,低,低,弱
菜寮,新北市,38,,良好,0.6,0.24,40.0,41.0,5.0,7.0,10.0,11.0,0.5,2.3,99.0,2025-03-30 23:00,,0.2,5.7,4.0,0.0,121.481028,25.06895,8,低,低,低,中,低,低,低,低,低,弱
新莊,新北市,36,,良好,0.3,0.21,38.0,39.0,0.0,2.0,9.0,9.9,0.8,3.3,85.0,2025-03-30 23:00,,0.2,3.7,1.0,0.0,121.4325,25.037972,7,低,低,低,中,低,低,低,低,低,弱
板橋,新北市,36,,良好,0.9,0.27,38.0,39.0,2.0,1.0,11.0,12.8,1.2,1.5,105.0,2025-03-30 23:00,,0.2,1.2,2.0,0.0,121.458667,25.012972,6,低,低,低,中,低,低,低,低,低,弱
土城,新北市,39,,良好,0.6,0.3,36.0,42.0,6.0,1.0,13.0,13.9,0.8,0.9,289.0,2025-03-30 23:00,,0.2,3.3,6.0,0.0,121.451861,24.982528,5,低,低,低,中,低,低,低,低,低,弱
新店,新北市,37,,良好,0.1,0.28,33.0,40.0,2.0,3.0,13.0,14.1,0.7,0.9,118.0,2025-03-30 23:00,,0.2,3.6,3.0,0.0,121.537778,24.977222,4,低,低,低,中,低,低,低,低,低,弱
萬里,新北市,48,,良好,0.7,0.16,51.0,51.0,27.0,5.0,1.0,2.1,0.5,8.0,59.0,2025-03-30 23:00,,0.1,4.9,29.0,0.0,121.689881,25.179667,3,低,低,中,中,低,低,低,低,低,中
汐止,新北市,41,,良好,0.9,0.2,38.0,44.0,2.0,5.0,9.0,10.9,1.3,0.8,53.0,2025-03-30 23:00,,0.1,4.6,3.0,0.0,121.64081,25.06624,2,低,低,低,中,低,低,低,低,低,弱
基隆,基隆市,45,,良好,1.0,0.18,49.0,49.0,6.0,3.0,2.0,3.6,1.1,2.5,87.0,2025-03-30 23:00,,0.1,1.9,7.0,1.0,121.760056,25.129167,1,低,低,中,中,低,低,低,低,低,弱
屏東(枋山),屏東縣,51,臭氧八小時,普通,0.6,0.24,40.0,55.0,31.0,9.0,6.0,6.6,0.0,1.9,328.0,2025-03-30 22:00,,0.1,7.7,25.0,0.0,120.651472,22.260899,313,低,低,低,中,低,低,低,低,低,弱
臺南（南化）,臺南市,52,細懸浮微粒,普通,0.3,0.21,27.0,36.0,15.0,13.0,5.0,5.8,0.2,1.7,346.0,2025-03-30 22:00,,0.2,12.7,16.0,0.0,120.44583156,23.04562013,312,低,低,低,中,低,低,低,低,低,弱
新北（樹林）,新北市,39,,良好,0.1,0.23,42.0,42.0,2.0,3.0,9.0,11.7,2.1,0.0,180.0,2025-03-30 22:00,,0.2,1.7,2.0,0.0,121.38352778,24.94902778,311,低,低,低,中,低,低,低,低,低,弱
台中市（和平區消防隊）,臺中市,24,,良好,0.1,0.22,27.0,26.0,4.0,4.0,3.0,5.0,1.0,0.6,30.0,2025-03-30 22:00,,0.2,1.6,4.0,0.0,120.883858,24.174592,310,低,低,低,低,低,低,低,低,低,弱
屏東（琉球）,屏東縣,63,細懸浮微粒,普通,2.6,0.47,22.0,45.0,35.0,22.0,17.0,17.6,0.4,3.1,329.0,2025-03-30 22:00,,0.2,16.9,31.0,3.0,120.37722,22.35222,204,低,低,低,中,低,低,低,低,低,弱
臺南（麻豆）,臺南市,35,,良好,1.1,0.19,34.0,38.0,12.0,7.0,6.0,7.6,1.0,2.7,10.0,2025-03-30 22:00,,0.2,7.7,15.0,0.0,120.24583056,23.17904722,203,低,低,低,中,低,低,低,低,低,弱
高雄（湖內）,高雄市,45,,良好,1.8,0.25,25.0,34.0,18.0,11.0,13.0,13.7,0.7,1.4,267.0,2025-03-30 22:00,,0.2,11.2,21.0,1.0,120.24535,22.87985556,202,低,低,低,中,低,低,低,低,低,弱
宜蘭（頭城）,宜蘭縣,40,,良好,0.7,0.18,38.0,43.0,7.0,0.0,3.0,4.1,0.2,1.6,244.0,2025-03-30 22:00,,0.1,2.2,10.0,0.0,121.82463916,24.85366672,201,低,低,低,中,低,低,低,低,低,弱
員林,彰化縣,35,,良好,0.9,0.22,38.0,38.0,6.0,7.0,5.0,6.7,1.1,2.1,57.0,2025-03-30 22:00,,0.2,6.1,8.0,1.0,120.5631893,23.9615945,139,低,低,低,中,低,低,低,低,低,弱
大城,彰化縣,41,,良好,1.5,0.19,39.0,44.0,13.0,7.0,8.0,9.8,1.4,3.2,50.0,2025-03-30 22:00,,0.1,6.7,13.0,1.0,120.26964167,23.85493056,85,低,低,低,中,低,低,低,低,低,弱
富貴角,新北市,50,,良好,0.3,0.1,53.0,54.0,19.0,5.0,0.0,0.8,0.0,14.0,44.0,2025-03-30 22:00,,0.1,5.5,19.0,0.0,121.53656894,25.29681695,84,低,低,中,中,低,低,低,低,低,強
麥寮,雲林縣,38,,良好,2.5,0.32,39.0,41.0,10.0,5.0,6.0,7.6,1.2,5.9,3.0,2025-03-30 22:00,,0.3,5.1,12.0,1.0,120.251825,23.753506,83,低,低,低,中,低,低,低,低,低,中
關山,臺東縣,44,,良好,0.6,0.2,45.0,47.0,6.0,3.0,2.0,3.0,0.6,2.9,25.0,2025-03-30 22:00,,0.1,3.6,13.0,0.0,121.161933,23.045083,80,低,低,中,中,低,低,低,低,低,弱
馬公,澎湖縣,47,,良好,0.9,0.16,51.0,51.0,17.0,5.0,1.0,2.1,0.6,6.9,37.0,2025-03-30 22:00,,0.1,6.1,16.0,0.0,119.566158,23.569031,78,低,低,中,中,低,低,低,低,低,中
金門,金門縣,37,,良好,0.9,0.23,42.0,40.0,5.0,7.0,4.0,4.9,0.5,3.2,30.0,2025-03-30 22:00,,0.2,5.2,8.0,0.0,118.312256,24.432133,77,低,低,低,中,低,低,低,低,低,弱
馬祖,連江縣,42,,良好,0.7,0.19,43.0,45.0,10.0,9.0,3.0,4.3,0.5,2.8,343.0,2025-03-30 22:00,,0.1,7.1,15.0,0.0,119.952724,26.153736,75,低,低,低,中,低,低,低,低,低,弱
埔里,南投縣,34,,良好,0.8,0.26,16.0,15.0,13.0,5.0,4.0,5.1,1.1,1.7,281.0,2025-03-30 22:00,,0.2,8.5,14.0,0.0,120.967903,23.968842,72,低,低,低,低,低,低,低,低,低,弱
復興,高雄市,59,細懸浮微粒,普通,1.2,0.36,25.0,36.0,24.0,15.0,14.0,15.4,1.4,1.4,273.0,2025-03-30 22:00,,0.3,15.6,29.0,1.0,120.312017,22.608711,71,低,低,低,中,低,低,低,低,低,弱
永和,新北市,38,,良好,0.7,0.24,41.0,41.0,0.0,5.0,7.0,8.7,0.9,1.7,85.0,2025-03-30 22:00,,0.2,5.8,2.0,0.0,121.516306,25.017,70,低,低,低,中,低,低,低,低,低,弱
竹山,南投縣,35,,良好,1.4,0.22,28.0,28.0,15.0,7.0,8.0,9.4,0.9,1.4,4.0,2025-03-30 22:00,,0.2,8.6,16.0,1.0,120.677306,23.756389,69,低,低,低,低,低,低,低,低,低,弱
中壢,桃園市,45,,良好,0.2,0.38,31.0,34.0,3.0,4.0,19.0,24.1,5.0,0.7,7.0,2025-03-30 22:00,,0.3,4.8,4.0,0.0,121.221667,24.953278,68,低,低,低,中,低,低,低,低,低,弱
冬山,宜蘭縣,43,,良好,0.5,0.15,45.0,46.0,0.0,4.0,1.0,2.0,0.0,2.0,288.0,2025-03-30 22:00,,0.1,3.7,1.0,0.0,121.792928,24.632203,66,低,低,中,中,低,低,低,低,低,弱
宜蘭,宜蘭縣,40,,良好,0.5,0.16,42.0,43.0,1.0,4.0,2.0,3.3,0.6,1.2,269.0,2025-03-30 22:00,,0.1,3.3,3.0,0.0,121.746394,24.747917,65,低,低,低,中,低,低,低,低,低,弱
花蓮,花蓮縣,43,,良好,1.3,0.27,40.0,46.0,9.0,1.0,4.0,5.7,0.9,2.3,66.0,2025-03-30 22:00,,0.2,1.5,8.0,0.0,121.599769,23.971306,63,低,低,低,中,低,低,低,低,低,弱
臺東,臺東縣,44,,良好,1.2,0.18,47.0,48.0,15.0,2.0,2.0,3.0,0.2,2.0,325.0,2025-03-30 22:00,,0.1,2.5,21.0,0.0,121.15045,22.755358,62,低,低,中,中,低,低,低,低,低,弱
恆春,屏東縣,49,,良好,1.0,0.17,53.0,53.0,8.0,2.0,1.0,1.4,0.3,10.8,33.0,2025-03-30 22:00,,0.1,1.8,15.0,0.0,120.788928,21.958069,61,低,低,中,中,低,低,低,低,低,強
