variable,group,min_value,max_value
so2,低,0.0,22.96666666666667
so2,中,22.96666666666667,45.93333333333334
so2,高,45.93333333333334,68.9
co,低,0.06,1.0066666666666666
co,中,1.0066666666666666,1.9533333333333334
co,高,1.9533333333333334,2.9
o3,低,0.0,43.666666666666664
o3,中,43.666666666666664,87.33333333333333
o3,高,87.33333333333333,131.0
o3_8hr,低,0.0,31.666666666666668
o3_8hr,中,31.666666666666668,63.333333333333336
o3_8hr,高,63.333333333333336,95.0
pm10,低,0.0,196.0
pm10,中,196.0,392.0
pm10,高,392.0,588.0
pm2.5,低,0.0,22.333333333333332
pm2.5,中,22.333333333333332,44.666666666666664
pm2.5,高,44.666666666666664,67.0
no2,低,0.0,24.0
no2,中,24.0,48.0
no2,高,48.0,72.0
nox,低,0.0,34.666666666666664
nox,中,34.666666666666664,69.33333333333333
nox,高,69.33333333333333,104.0
no,低,0.0,22.766666666666666
no,中,22.766666666666666,45.53333333333333
no,高,45.53333333333333,68.3
windspeed,弱,0.0,5.1000000000000005
windspeed,中,5.1000000000000005,10.200000000000001
windspeed,強,10.200000000000001,15.3
