sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,46,,良好,0.5,0.27,28,50,42,19,10,10.6,0.1,1.9,319,2025-03-30 23:00,,0.1,9.5,27,0,120.651472,22.260899,313
臺南（南化）,臺南市,53,細懸浮微粒,普通,0.3,0.21,25,33,14,15,5,5.6,0.2,1.5,351,2025-03-30 23:00,,0.2,13.3,15,0,120.44583156,23.04562013,312
新北（樹林）,新北市,39,,良好,0.2,0.24,38,42,1,3,11,12.8,1.5,0,147,2025-03-30 23:00,,0.2,2,2,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,24,,良好,0.2,0.2,26,26,4,4,3,3.7,0.5,0.9,310,2025-03-30 23:00,,0.2,2.2,4,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,65,細懸浮微粒,普通,7.6,0.99,11,39,51,25,26,26.8,0.5,2.6,334,2025-03-30 23:00,,0.3,17.7,33,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,33,,良好,0.9,0.19,34,36,11,5,6,7.1,0.9,2.7,3,2025-03-30 23:00,,0.2,7.5,14,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,43,,良好,1.6,0.26,23,32,14,10,14,15.2,0.7,1,22,2025-03-30 23:00,,0.2,10.6,19,1,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,39,,良好,0.8,0.17,38,42,9,3,3,4,0.3,1.6,244,2025-03-30 23:00,,0.1,2,9,0,121.82463916,24.85366672,201
員林,彰化縣,35,,良好,1,0.22,37,38,10,6,5,6.8,1,2.5,43,2025-03-30 23:00,,0.2,6.4,8,1,120.5631893,23.9615945,139
大城,彰化縣,40,,良好,1.7,0.18,40,43,10,5,7,9.5,1.6,2.4,54,2025-03-30 23:00,,0.1,6.2,13,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.3,0.1,53,54,24,8,0,0.8,0,13.4,45,2025-03-30 23:00,,0.1,5.4,20,0,121.53656894,25.29681695,84
麥寮,雲林縣,36,,良好,2.5,0.31,37,39,12,4,7,8.4,1.3,4.8,359,2025-03-30 23:00,,0.3,5.1,12,1,120.251825,23.753506,83
關山,臺東縣,43,,良好,0.7,0.19,43,46,5,4,2,2.9,0.6,2.6,20,2025-03-30 23:00,,0.1,3.3,11,0,121.161933,23.045083,80
馬公,澎湖縣,47,,良好,0.9,0.17,51,51,7,8,1,2.2,0.6,6.9,32,2025-03-30 23:00,,0.1,6.3,14,0,119.566158,23.569031,78
金門,金門縣,37,,良好,1,0.22,43,40,5,9,3,4.2,0.5,3,35,2025-03-30 23:00,,0.2,5.6,7,0,118.312256,24.432133,77
馬祖,連江縣,42,,良好,0.7,0.19,43,45,21,13,3,4.4,0.6,2.7,357,2025-03-30 23:00,,0.1,7.9,16,0,119.952724,26.153736,75
埔里,南投縣,32,,良好,0.8,0.26,15,14,8,6,3,4.5,1,0.6,260,2025-03-30 23:00,,0.2,8,12,0,120.967903,23.968842,72
復興,高雄市,57,細懸浮微粒,普通,1.3,0.34,23,32,21,14,13,15,1.3,1.5,317,2025-03-30 23:00,,0.3,14.7,27,1,120.312017,22.608711,71
永和,新北市,38,,良好,0.8,0.25,39,41,0,5,8,9.8,1.2,1.5,107,2025-03-30 23:00,,0.2,5.5,1,0,121.516306,25.017,70
竹山,南投縣,36,,良好,1.4,0.22,26,28,10,11,8,9,0.8,1.6,18,2025-03-30 23:00,,0.2,9,15,1,120.677306,23.756389,69
中壢,桃園市,36,,良好,0.1,0.36,30,34,8,3,15,19.7,3.8,0.9,12,2025-03-30 23:00,,0.3,4.7,5,0,121.221667,24.953278,68
三重,新北市,56,二氧化氮,普通,0.7,0.59,20,19,6,4,30,52.9,22.8,-,-,2025-03-30 23:00,,0.7,5.4,8,0,121.493806,25.072611,67
冬山,宜蘭縣,42,,良好,0.6,0.15,45,45,0,5,1,1.1,0,2.2,265,2025-03-30 23:00,,0.1,4.1,0,0,121.792928,24.632203,66
宜蘭,宜蘭縣,39,,良好,0.5,0.15,42,42,2,5,2,3.6,0.6,1.3,273,2025-03-30 23:00,,0.1,3.5,2,0,121.746394,24.747917,65
陽明,臺北市,46,,良好,0.8,0.19,50,50,2,0,1,1.5,0.3,3.7,200,2025-03-30 23:00,,0.1,0,3,0,121.529583,25.182722,64
花蓮,花蓮縣,42,,良好,1,0.23,42,45,8,0,3,4.6,1.1,0.7,298,2025-03-30 23:00,,0.2,1.3,7,0,121.599769,23.971306,63
臺東,臺東縣,44,,良好,1,0.18,46,47,11,1,2,1.8,0,2.2,314,2025-03-30 23:00,,0.1,2.2,19,0,121.15045,22.755358,62
恆春,屏東縣,49,,良好,1,0.17,52,53,11,0,1,1.5,0.2,11.7,33,2025-03-30 23:00,,0.1,1.7,14,0,120.788928,21.958069,61
潮州,屏東縣,70,細懸浮微粒,普通,0.9,0.27,25,40,31,16,9,9.8,0.1,1.7,15,2025-03-30 23:00,,0.2,19.5,36,1,120.561175,22.523108,60
屏東,屏東縣,56,細懸浮微粒,普通,1.1,0.28,26,37,25,13,9,10.3,0.5,1.4,254,2025-03-30 23:00,,0.3,14.2,27,1,120.488033,22.673081,59
小港,高雄市,67,細懸浮微粒,普通,0.4,0.32,24,33,21,17,12,14.6,1.6,1.3,321,2025-03-30 23:00,,0.3,18.5,26,1,120.337736,22.565833,58
前鎮,高雄市,59,細懸浮微粒,普通,0.4,0.37,23,32,25,15,13,14.4,1.2,3,27,2025-03-30 23:00,,0.3,15.3,30,1,120.30833356,22.6044507,57
前金,高雄市,56,細懸浮微粒,普通,1.2,0.29,22,33,25,16,12,12.9,0.4,4.8,356,2025-03-30 23:00,,0.3,14.5,29,1,120.28676111,22.63390278,56
左營,高雄市,53,細懸浮微粒,普通,1,0.32,24,34,24,15,10,11.6,0.8,2.7,349,2025-03-30 23:00,,0.3,13.2,27,1,120.292917,22.674861,54
楠梓,高雄市,56,細懸浮微粒,普通,0.8,0.26,26,34,20,16,10,10.3,0.2,1.8,335,2025-03-30 23:00,,0.2,14.2,25,0,120.328289,22.733667,53
林園,高雄市,71,細懸浮微粒,普通,1.9,0.33,20,31,33,16,17,17.7,0.3,2.1,359,2025-03-30 23:00,,0.3,19.9,41,2,120.41175,22.4795,52
大寮,高雄市,64,細懸浮微粒,普通,0.4,0.26,23,33,26,14,10,11,0.7,1.9,352,2025-03-30 23:00,,0.3,17.3,31,2,120.425311,22.56413611,51
鳳山,高雄市,61,細懸浮微粒,普通,1.4,0.37,22,31,23,11,13,14.4,1.3,1.4,280,2025-03-30 23:00,,0.4,16.1,27,1,120.357422,22.628126,50
仁武,高雄市,56,細懸浮微粒,普通,1.2,0.29,25,34,16,17,11,11.5,0.2,2.8,331,2025-03-30 23:00,,0.3,14.2,23,1,120.332631,22.689056,49
橋頭,高雄市,55,細懸浮微粒,普通,1.1,0.25,27,35,22,13,9,10,0.7,2.9,9,2025-03-30 23:00,,0.2,14,25,1,120.305689,22.757506,48
美濃,高雄市,52,細懸浮微粒,普通,0.9,0.26,27,36,25,10,6,6.9,0.2,1,254,2025-03-30 23:00,,0.2,12.9,21,1,120.530542,22.883583,47
臺南,臺南市,39,,良好,1,0.21,32,36,11,7,8,9.3,0.8,3.3,359,2025-03-30 23:00,,0.2,9.7,15,1,120.21947897,22.98928311,46
安南,臺南市,37,,良好,0.7,0.22,34,37,16,9,7,8.1,1,3.1,335,2025-03-30 23:00,,0.2,9.1,19,0,120.2175,23.048197,45
善化,臺南市,47,,良好,1,0.2,31,35,15,16,7,9,1.4,3.8,8,2025-03-30 23:00,,0.2,11.7,15,1,120.29740529,23.11337642,44
新營,臺南市,33,,良好,1.4,0.21,34,36,15,5,7,8,0.7,2.9,19,2025-03-30 23:00,,0.2,7.6,13,1,120.31725,23.305633,43
嘉義,嘉義市,35,,良好,1.3,0.24,31,33,12,6,7,7.4,0.2,2.9,5,2025-03-30 23:00,,0.2,8.8,11,1,120.44125148,23.46477865,42
臺西,雲林縣,38,,良好,2.1,0.2,39,41,10,4,7,7.7,0.5,6.8,28,2025-03-30 23:00,,0.2,4.5,16,1,120.19933333,23.702175,41
朴子,嘉義縣,37,,良好,0.5,0.12,40,40,9,5,4,4.2,0,2.2,356,2025-03-30 23:00,,0.1,5.2,13,0,120.2478,23.46538,40
新港,嘉義縣,36,,良好,1.5,0.17,39,39,7,2,4,5.3,0.5,3.9,18,2025-03-30 23:00,,0.1,4.9,12,1,120.345531,23.554839,39
崙背,雲林縣,37,,良好,0.7,0.19,40,40,10,7,3,4.2,0.4,2.3,13,2025-03-30 23:00,,0.1,7.9,12,0,120.348742,23.757547,38
斗六,雲林縣,39,,良好,0.8,0.2,33,34,8,7,4,4.8,0.7,1.8,3,2025-03-30 23:00,,0.2,9.6,11,0,120.544994,23.711853,37
南投,南投縣,34,,良好,1.5,0.22,31,31,7,9,7,8.2,0.4,1.5,319,2025-03-30 23:00,,0.2,8.4,11,1,120.685306,23.913,36
二林,彰化縣,41,,良好,1.9,0.19,44,44,10,2,3,3.9,0.3,4.6,28,2025-03-30 23:00,,0.1,4.4,16,1,120.409653,23.925175,35
線西,彰化縣,41,,良好,2,0.18,44,44,1,1,7,7.2,0.2,7.3,44,2025-03-30 23:00,,0.1,3,4,1,120.469061,24.131672,34
彰化,彰化縣,32,,良好,0.9,0.19,36,35,3,3,6,7.2,0.9,2.6,25,2025-03-30 23:00,,0.2,4.2,5,0,120.541519,24.066,33
西屯,臺中市,38,,良好,0.9,0.2,41,41,7,3,5,6.2,1.1,4.1,355,2025-03-30 23:00,,0.2,4.2,6,0,120.616917,24.162197,32
忠明,臺中市,31,,良好,1.3,0.25,33,33,4,2,8,9.5,1.3,1.9,338,2025-03-30 23:00,,0.2,4.5,6,1,120.641092,24.151958,31
大里,臺中市,29,,良好,1,0.25,29,31,2,3,10,10.6,0,1.8,323,2025-03-30 23:00,,0.2,6.3,3,1,120.67844444,24.09961111,30
沙鹿,臺中市,40,,良好,0,0.19,43,43,4,5,4,4.8,0.3,3.4,24,2025-03-30 23:00,,0.1,6,8,0,120.568794,24.225628,29
豐原,臺中市,34,,良好,0.2,0.19,38,37,4,2,2,3.2,0.6,2,2,2025-03-30 23:00,,0.2,2.2,3,0,120.74252414,24.25699731,28
三義,苗栗縣,38,,良好,1,0.2,40,41,0,2,3,3.7,0.2,5.1,15,2025-03-30 23:00,,0.1,2.9,1,0,120.75956754,24.38248443,27
苗栗,苗栗縣,40,,良好,1.8,0.18,40,43,1,4,5,6.4,0.6,2.6,12,2025-03-30 23:00,,0.1,3.5,4,1,120.82011468,24.56499183,26
頭份,苗栗縣,43,,良好,1.7,0.21,43,46,4,4,6,7.5,1.1,0.3,33,2025-03-30 23:00,,0.1,3.7,3,1,120.89869286,24.69690679,25
新竹,新竹市,43,,良好,2,0.2,45,46,0,4,4,5.4,0.5,3,53,2025-03-30 23:00,,0.2,4.7,2,1,120.97236752,24.8056356,24
竹東,新竹縣,43,,良好,0.5,0.16,44,46,2,1,3,4,0.4,3.2,61,2025-03-30 23:00,,0.1,1.2,2,0,121.08895493,24.74091408,23
湖口,新竹縣,43,,良好,1,0.18,45,46,6,0,3,4.2,0.9,5.5,40,2025-03-30 23:00,,0.1,3.2,5,1,121.03886894,24.90009696,22
龍潭,桃園市,40,,良好,1.1,0.16,44,43,2,1,4,4.7,0.2,5.5,46,2025-03-30 23:00,,0.1,1.7,5,1,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,0.7,0.24,36,42,7,6,13,14.3,0.5,2.6,52,2025-03-30 23:00,,0.2,5.2,6,0,121.203986,24.952786,20
觀音,桃園市,44,,良好,3.5,0.14,46,47,5,3,3,3.3,0,7.5,68,2025-03-30 23:00,,0.1,6.3,7,0,121.08283092,25.03556747,19
大園,桃園市,42,,良好,1.2,0.19,43,45,5,0,9,10.5,1.3,5.9,58,2025-03-30 23:00,,0.1,2.5,5,2,121.20251473,25.06100357,18
桃園,桃園市,37,,良好,1.2,0.24,40,40,3,1,8,9.4,0.6,2.4,47,2025-03-30 23:00,,0.2,2,2,1,121.30500531,24.9947107,17
大同,臺北市,55,二氧化氮,普通,0,0.48,20,23,6,4,28,45,16.2,-,-,2025-03-30 23:00,,0.5,6.1,5,0,121.51342074,25.06331455,16
松山,臺北市,37,,良好,1.6,0.21,36,40,2,6,11,12.2,0.9,1.1,29,2025-03-30 23:00,,0.1,6.2,2,1,121.578611,25.05,15
古亭,臺北市,39,,良好,0.9,0.19,43,42,4,1,6,7.5,0.6,2,58,2025-03-30 23:00,,0.2,3,4,0,121.529556,25.020608,14
萬華,臺北市,34,,良好,0.6,0.26,35,37,4,2,12,13.6,0.8,1.8,91,2025-03-30 23:00,,0.2,2.2,5,0,121.507972,25.046503,13
中山,臺北市,32,,良好,0.8,0.29,35,35,2,0,13,14.2,1.1,2.1,77,2025-03-30 23:00,,0.3,3.4,4,0,121.526528,25.062361,12
士林,臺北市,43,,良好,0.5,0.18,45,46,4,1,5,6.5,0.9,1.6,157,2025-03-30 23:00,,0.1,2,3,0,121.51666356,25.10334003,11
淡水,新北市,43,,良好,0.7,0.17,45,46,5,3,2,2.8,0.7,3,10,2025-03-30 23:00,,0.1,3.5,6,0,121.449239,25.1645,10
林口,新北市,43,,良好,0.6,0.19,42,46,0,5,4,5.7,0.7,2.6,46,2025-03-30 23:00,,0.1,4.4,0,0,121.36548982,25.07798949,9
菜寮,新北市,38,,良好,0.6,0.24,40,41,5,7,10,11,0.5,2.3,99,2025-03-30 23:00,,0.2,5.7,4,0,121.481028,25.06895,8
新莊,新北市,36,,良好,0.3,0.21,38,39,0,2,9,9.9,0.8,3.3,85,2025-03-30 23:00,,0.2,3.7,1,0,121.4325,25.037972,7
板橋,新北市,36,,良好,0.9,0.27,38,39,2,1,11,12.8,1.2,1.5,105,2025-03-30 23:00,,0.2,1.2,2,0,121.458667,25.012972,6
土城,新北市,39,,良好,0.6,0.3,36,42,6,1,13,13.9,0.8,0.9,289,2025-03-30 23:00,,0.2,3.3,6,0,121.451861,24.982528,5
新店,新北市,37,,良好,0.1,0.28,33,40,2,3,13,14.1,0.7,0.9,118,2025-03-30 23:00,,0.2,3.6,3,0,121.537778,24.977222,4
萬里,新北市,48,,良好,0.7,0.16,51,51,27,5,1,2.1,0.5,8,59,2025-03-30 23:00,,0.1,4.9,29,0,121.689881,25.179667,3
汐止,新北市,41,,良好,0.9,0.2,38,44,2,5,9,10.9,1.3,0.8,53,2025-03-30 23:00,,0.1,4.6,3,0,121.64081,25.06624,2
基隆,基隆市,45,,良好,1,0.18,49,49,6,3,2,3.6,1.1,2.5,87,2025-03-30 23:00,,0.1,1.9,7,1,121.760056,25.129167,1
屏東(枋山),屏東縣,51,臭氧八小時,普通,0.6,0.24,40,55,31,9,6,6.6,0,1.9,328,2025-03-30 22:00,,0.1,7.7,25,0,120.651472,22.260899,313
臺南（南化）,臺南市,52,細懸浮微粒,普通,0.3,0.21,27,36,15,13,5,5.8,0.2,1.7,346,2025-03-30 22:00,,0.2,12.7,16,0,120.44583156,23.04562013,312
新北（樹林）,新北市,39,,良好,0.1,0.23,42,42,2,3,9,11.7,2.1,0,180,2025-03-30 22:00,,0.2,1.7,2,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,24,,良好,0.1,0.22,27,26,4,4,3,5,1,0.6,30,2025-03-30 22:00,,0.2,1.6,4,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,63,細懸浮微粒,普通,2.6,0.47,22,45,35,22,17,17.6,0.4,3.1,329,2025-03-30 22:00,,0.2,16.9,31,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,35,,良好,1.1,0.19,34,38,12,7,6,7.6,1,2.7,10,2025-03-30 22:00,,0.2,7.7,15,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,45,,良好,1.8,0.25,25,34,18,11,13,13.7,0.7,1.4,267,2025-03-30 22:00,,0.2,11.2,21,1,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,40,,良好,0.7,0.18,38,43,7,0,3,4.1,0.2,1.6,244,2025-03-30 22:00,,0.1,2.2,10,0,121.82463916,24.85366672,201
員林,彰化縣,35,,良好,0.9,0.22,38,38,6,7,5,6.7,1.1,2.1,57,2025-03-30 22:00,,0.2,6.1,8,1,120.5631893,23.9615945,139
大城,彰化縣,41,,良好,1.5,0.19,39,44,13,7,8,9.8,1.4,3.2,50,2025-03-30 22:00,,0.1,6.7,13,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.3,0.1,53,54,19,5,0,0.8,0,14,44,2025-03-30 22:00,,0.1,5.5,19,0,121.53656894,25.29681695,84
麥寮,雲林縣,38,,良好,2.5,0.32,39,41,10,5,6,7.6,1.2,5.9,3,2025-03-30 22:00,,0.3,5.1,12,1,120.251825,23.753506,83
關山,臺東縣,44,,良好,0.6,0.2,45,47,6,3,2,3,0.6,2.9,25,2025-03-30 22:00,,0.1,3.6,13,0,121.161933,23.045083,80
馬公,澎湖縣,47,,良好,0.9,0.16,51,51,17,5,1,2.1,0.6,6.9,37,2025-03-30 22:00,,0.1,6.1,16,0,119.566158,23.569031,78
金門,金門縣,37,,良好,0.9,0.23,42,40,5,7,4,4.9,0.5,3.2,30,2025-03-30 22:00,,0.2,5.2,8,0,118.312256,24.432133,77
馬祖,連江縣,42,,良好,0.7,0.19,43,45,10,9,3,4.3,0.5,2.8,343,2025-03-30 22:00,,0.1,7.1,15,0,119.952724,26.153736,75
埔里,南投縣,34,,良好,0.8,0.26,16,15,13,5,4,5.1,1.1,1.7,281,2025-03-30 22:00,,0.2,8.5,14,0,120.967903,23.968842,72
復興,高雄市,59,細懸浮微粒,普通,1.2,0.36,25,36,24,15,14,15.4,1.4,1.4,273,2025-03-30 22:00,,0.3,15.6,29,1,120.312017,22.608711,71
永和,新北市,38,,良好,0.7,0.24,41,41,0,5,7,8.7,0.9,1.7,85,2025-03-30 22:00,,0.2,5.8,2,0,121.516306,25.017,70
竹山,南投縣,35,,良好,1.4,0.22,28,28,15,7,8,9.4,0.9,1.4,4,2025-03-30 22:00,,0.2,8.6,16,1,120.677306,23.756389,69
中壢,桃園市,45,,良好,0.2,0.38,31,34,3,4,19,24.1,5,0.7,7,2025-03-30 22:00,,0.3,4.8,4,0,121.221667,24.953278,68
三重,新北市,54,二氧化氮,普通,0.7,0.7,21,19,10,4,26,43.5,17.1,-,-,2025-03-30 22:00,,0.7,5.7,8,0,121.493806,25.072611,67
冬山,宜蘭縣,43,,良好,0.5,0.15,45,46,0,4,1,2,0,2,288,2025-03-30 22:00,,0.1,3.7,1,0,121.792928,24.632203,66
宜蘭,宜蘭縣,40,,良好,0.5,0.16,42,43,1,4,2,3.3,0.6,1.2,269,2025-03-30 22:00,,0.1,3.3,3,0,121.746394,24.747917,65
陽明,臺北市,46,,良好,0.8,0.19,50,50,4,,1,1.7,0.4,2.1,220,2025-03-30 22:00,,0.1,0,4,0,121.529583,25.182722,64
花蓮,花蓮縣,43,,良好,1.3,0.27,40,46,9,1,4,5.7,0.9,2.3,66,2025-03-30 22:00,,0.2,1.5,8,0,121.599769,23.971306,63
臺東,臺東縣,44,,良好,1.2,0.18,47,48,15,2,2,3,0.2,2,325,2025-03-30 22:00,,0.1,2.5,21,0,121.15045,22.755358,62
恆春,屏東縣,49,,良好,1,0.17,53,53,8,2,1,1.4,0.3,10.8,33,2025-03-30 22:00,,0.1,1.8,15,0,120.788928,21.958069,61
潮州,屏東縣,72,細懸浮微粒,普通,0.9,0.29,26,46,26,17,10,11,0.2,1.4,339,2025-03-30 22:00,,0.2,20,37,1,120.561175,22.523108,60
屏東,屏東縣,57,細懸浮微粒,普通,1.2,0.29,28,41,21,12,10,11.1,0.5,1.2,318,2025-03-30 22:00,,0.3,14.7,28,1,120.488033,22.673081,59
小港,高雄市,70,細懸浮微粒,普通,0.4,0.34,24,37,24,21,15,16.5,1.5,2,334,2025-03-30 22:00,,0.3,19.4,27,1,120.337736,22.565833,58
前鎮,高雄市,61,細懸浮微粒,普通,0.8,0.38,25,36,27,16,14,15.6,1.2,3,11,2025-03-30 22:00,,0.3,16,32,1,120.30833356,22.6044507,57
前金,高雄市,56,細懸浮微粒,普通,1.1,0.29,26,37,18,12,12,12.9,0.4,4.6,353,2025-03-30 22:00,,0.3,14.3,31,1,120.28676111,22.63390278,56
左營,高雄市,55,細懸浮微粒,普通,0.9,0.31,27,37,20,12,9,10.5,0.6,2.3,330,2025-03-30 22:00,,0.3,13.8,29,1,120.292917,22.674861,54
楠梓,高雄市,56,細懸浮微粒,普通,0.8,0.25,27,37,22,13,10,10.8,0.3,2,326,2025-03-30 22:00,,0.2,14.4,27,1,120.328289,22.733667,53
林園,高雄市,72,細懸浮微粒,普通,1.8,0.36,20,36,36,16,17,18.1,0.3,2.7,11,2025-03-30 22:00,,0.3,20.3,43,2,120.41175,22.4795,52
大寮,高雄市,67,細懸浮微粒,普通,0.8,0.28,25,38,23,19,12,12.9,0.7,2.7,357,2025-03-30 22:00,,0.3,18.3,32,2,120.425311,22.56413611,51
鳳山,高雄市,64,細懸浮微粒,普通,1.4,0.36,24,35,21,17,12,14.4,1.5,1.3,261,2025-03-30 22:00,,0.4,17.4,28,1,120.357422,22.628126,50
仁武,高雄市,55,細懸浮微粒,普通,1,0.28,27,37,17,17,11,11.9,0.2,2.9,339,2025-03-30 22:00,,0.3,13.9,26,1,120.332631,22.689056,49
橋頭,高雄市,55,細懸浮微粒,普通,1,0.25,29,37,15,12,9,9.8,0.6,3.2,6,2025-03-30 22:00,,0.2,14.1,27,1,120.305689,22.757506,48
美濃,高雄市,54,細懸浮微粒,普通,1.1,0.27,28,39,11,13,7,7.7,0.2,1,201,2025-03-30 22:00,,0.2,13.7,22,1,120.530542,22.883583,47
臺南,臺南市,41,,良好,1,0.23,31,38,12,11,9,10.3,0.9,3.4,3,2025-03-30 22:00,,0.2,10.1,16,1,120.21947897,22.98928311,46
安南,臺南市,37,,良好,0.6,0.24,33,40,12,10,7,8.8,1.2,3.7,326,2025-03-30 22:00,,0.2,8.8,20,0,120.2175,23.048197,45
善化,臺南市,44,,良好,0.9,0.19,31,36,12,9,7,9.1,1.6,5,7,2025-03-30 22:00,,0.2,10.8,15,1,120.29740529,23.11337642,44
新營,臺南市,35,,良好,1.5,0.21,35,38,9,7,7,8.1,0.6,2.9,10,2025-03-30 22:00,,0.2,7.9,13,1,120.31725,23.305633,43
嘉義,嘉義市,37,,良好,1.3,0.24,32,33,7,7,7,7.6,0.1,2.6,22,2025-03-30 22:00,,0.2,9.2,11,1,120.44125148,23.46477865,42
臺西,雲林縣,39,,良好,2.1,0.22,38,42,16,4,7,7.4,0.3,7.2,28,2025-03-30 22:00,,0.2,4.7,18,1,120.19933333,23.702175,41
朴子,嘉義縣,37,,良好,0.5,0.12,40,40,9,7,4,4.6,0,2.5,356,2025-03-30 22:00,,0.1,5.1,14,0,120.2478,23.46538,40
新港,嘉義縣,37,,良好,1.4,0.17,39,40,9,3,5,5.7,0.4,4.5,20,2025-03-30 22:00,,0.1,5.5,12,1,120.345531,23.554839,39
崙背,雲林縣,37,,良好,0.7,0.2,40,40,13,9,3,4.3,0.4,2.2,17,2025-03-30 22:00,,0.1,7.8,13,0,120.348742,23.757547,38
斗六,雲林縣,41,,良好,0.7,0.21,33,35,11,9,4,5.5,0.7,2,356,2025-03-30 22:00,,0.2,10.2,12,0,120.544994,23.711853,37
南投,南投縣,33,,良好,1.5,0.23,31,31,12,10,8,9.2,0.4,1.2,337,2025-03-30 22:00,,0.2,8.2,11,1,120.685306,23.913,36
二林,彰化縣,41,,良好,2.2,0.2,44,44,15,4,3,4.1,0.3,4.8,31,2025-03-30 22:00,,0.1,4.8,18,1,120.409653,23.925175,35
線西,彰化縣,42,,良好,1.7,0.18,44,45,0,4,6,7,0.3,7.9,41,2025-03-30 22:00,,0.1,3.1,5,1,120.469061,24.131672,34
彰化,彰化縣,32,,良好,0.9,0.21,35,35,4,3,7,7.7,0.7,2.3,30,2025-03-30 22:00,,0.2,4.2,6,0,120.541519,24.066,33
西屯,臺中市,38,,良好,1,0.2,42,41,5,2,5,6.2,1.2,3.6,358,2025-03-30 22:00,,0.2,4.4,5,0,120.616917,24.162197,32
忠明,臺中市,31,,良好,1.2,0.25,32,33,4,3,8,9.9,1.3,1.9,351,2025-03-30 22:00,,0.2,5,8,1,120.641092,24.151958,31
大里,臺中市,29,,良好,1.2,0.24,30,31,2,7,10,10.4,0,1.6,11,2025-03-30 22:00,,0.2,6.5,4,1,120.67844444,24.09961111,30
沙鹿,臺中市,40,,良好,0,0.19,44,43,2,7,4,4.9,0.3,3.3,38,2025-03-30 22:00,,0.1,6.1,8,0,120.568794,24.225628,29
豐原,臺中市,34,,良好,0.3,0.2,38,37,6,1,3,3.6,0.6,1.9,11,2025-03-30 22:00,,0.2,2.2,3,0,120.74252414,24.25699731,28
三義,苗栗縣,38,,良好,0.9,0.2,42,41,1,4,3,3.7,0.2,5.1,15,2025-03-30 22:00,,0.2,2.6,1,0,120.75956754,24.38248443,27
苗栗,苗栗縣,40,,良好,1.9,0.17,44,43,5,1,4,5.2,0.5,3.6,22,2025-03-30 22:00,,0.1,3.2,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,43,,良好,1.6,0.2,46,46,3,2,5,6.2,1,0.3,42,2025-03-30 22:00,,0.1,3.8,3,1,120.89869286,24.69690679,25
新竹,新竹市,43,,良好,2.2,0.2,47,46,0,4,4,5,0.4,2.8,49,2025-03-30 22:00,,0.2,4.9,3,1,120.97236752,24.8056356,24
竹東,新竹縣,43,,良好,0.4,0.17,46,46,1,2,3,4.1,0.5,2.4,53,2025-03-30 22:00,,0.1,1.1,2,0,121.08895493,24.74091408,23
湖口,新竹縣,43,,良好,0.9,0.18,48,46,5,2,3,3.9,0.7,6.4,43,2025-03-30 22:00,,0.1,4,6,1,121.03886894,24.90009696,22
龍潭,桃園市,40,,良好,1.1,0.17,45,43,3,3,5,5.5,0.1,7,45,2025-03-30 22:00,,0.1,1.9,5,1,121.21645772,24.86400048,21
平鎮,桃園市,40,,良好,0.7,0.24,39,43,7,5,11,12.9,1.1,2.4,65,2025-03-30 22:00,,0.2,5,6,0,121.203986,24.952786,20
觀音,桃園市,44,,良好,2.6,0.15,46,47,9,3,3,3.5,0,6.7,85,2025-03-30 22:00,,0.1,8,7,0,121.08283092,25.03556747,19
大園,桃園市,42,,良好,1.8,0.19,42,45,4,0,9,11.3,1.3,5.6,61,2025-03-30 22:00,,0.1,3.4,6,2,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,1.1,0.28,37,41,3,3,10,11.4,0.6,2,36,2025-03-30 22:00,,0.2,2.2,3,1,121.30500531,24.9947107,17
大同,臺北市,58,二氧化氮,普通,0.7,0.71,17,24,5,7,33,61.8,28.1,-,-,2025-03-30 22:00,,0.5,6.2,6,0,121.51342074,25.06331455,16
松山,臺北市,38,,良好,1.6,0.21,38,41,1,7,10,11.3,1.1,1.3,26,2025-03-30 22:00,,0.1,6.2,2,1,121.578611,25.05,15
古亭,臺北市,39,,良好,0.7,0.2,42,42,4,3,8,8.8,0.7,2.1,55,2025-03-30 22:00,,0.2,3.2,3,0,121.529556,25.020608,14
萬華,臺北市,34,,良好,0.7,0.25,37,37,4,2,12,13.3,1,2.6,95,2025-03-30 22:00,,0.2,2.7,6,0,121.507972,25.046503,13
中山,臺北市,31,,良好,0.8,0.3,38,34,4,3,12,13.2,0.9,2.3,71,2025-03-30 22:00,,0.3,3.8,5,0,121.526528,25.062361,12
