variable,group,min_value,max_value
so2,低,0.0,17.6
so2,中低,17.6,35.2
so2,中高,35.2,52.800000000000004
so2,高,52.800000000000004,70.4
co,低,0.0,0.655
co,中低,0.655,1.31
co,中高,1.31,1.965
co,高,1.965,2.62
o3,低,0.0,29.75
o3,中低,29.75,59.5
o3,中高,59.5,89.25
o3,高,89.25,119.0
o3_8hr,低,0.0,24.0
o3_8hr,中低,24.0,48.0
o3_8hr,中高,48.0,72.0
o3_8hr,高,72.0,96.0
pm10,低,0.0,93.25
pm10,中低,93.25,186.5
pm10,中高,186.5,279.75
pm10,高,279.75,373.0
pm2.5,低,0.0,18.5
pm2.5,中低,18.5,37.0
pm2.5,中高,37.0,55.5
pm2.5,高,55.5,74.0
no2,低,0.0,15.5
no2,中低,15.5,31.0
no2,中高,31.0,46.5
no2,高,46.5,62.0
nox,低,0.0,32.45
nox,中低,32.45,64.9
nox,中高,64.9,97.35000000000001
nox,高,97.35000000000001,129.8
no,低,0.0,23.225
no,中低,23.225,46.45
no,中高,46.45,69.67500000000001
no,高,69.67500000000001,92.9
windspeed,弱,0.0,4.166666666666667
windspeed,中,4.166666666666667,8.333333333333334
windspeed,強,8.333333333333334,12.5
